Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.2111626984126984,0.1038616874031482,1
2,66,0.2765,0.10395231278491755,1
3,279,0.38333333333333336,0.09574271077563383,1
4,0,0.20419444444444446,0.11461061147164674,1
5,7,0.20967063492063492,0.10859848438471688,1
6,258,0.37,0.10091250335480403,1
7,4,0.21021825396825394,0.11054873802461962,1
8,84,0.2765,0.10633006787044451,1
9,310,0.3716666666666667,0.09084480049941096,1
10,15,0.2259047619047619,0.11563515322829608,1
11,0,0.18950036075036067,0.1065402635506867,1
12,36,0.2392619047619048,0.1090847800063095,1
13,231,0.40333333333333327,0.10049875621120892,1
14,8,0.212765873015873,0.10268401457852243,1
15,0,0.20952113572701805,0.1079984785914045,1
16,58,0.2376666666666666,0.0879905297934575,1
17,36,0.25666666666666665,0.1085766498326822,1
18,69,0.2876666666666667,0.1313523674870173,2
19,0,0.18940945165945164,0.10826831812425981,1
20,159,0.34166666666666673,0.11395661942647786,1
21,0,0.19688961038961036,0.10931206748393273,1
22,0,0.1928966866466866,0.10836733135342326,1
23,119,0.29500000000000004,0.09819198881103625,1
24,133,0.31833333333333336,0.1029967637032025,1
25,115,0.3116666666666667,0.10647117502456292,1
26,21,0.23357142857142854,0.10560778633769098,1
27,15,0.23073809523809521,0.10954042058298205,1
28,0,0.1975462544701675,0.1154715628984469,1
29,0,0.18847222222222218,0.10909395423656627,1
30,53,0.24916666666666668,0.09537571901578398,1
