Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,94,0.2991666666666667,0.10414666474629793,1
2,71,0.29000000000000004,0.11394443090091473,1
3,37,0.2635,0.11006803451603113,1
4,43,0.25933333333333336,0.099172128701118,1
5,155,0.3325,0.1102364882120858,1
6,300,0.43,0.10049875621120892,1
7,0,0.20396893792482026,0.11669296010170557,1
8,0,0.1984931457431457,0.10605365008147895,1
9,72,0.29,0.11430952132988165,1
10,52,0.26183333333333336,0.09827102545737702,1
11,0,0.1952688134878537,0.11397857516123537,1
12,135,0.3191666666666667,0.10868852029742812,1
13,265,0.3425,0.09781998773256927,1
14,0,0.19700404170992405,0.12208832582935969,1
15,139,0.36166666666666664,0.11973350037107873,1
16,0,0.19713596534184766,0.10818935510368649,1
17,62,0.26,0.10033277962194939,1
18,90,0.29150000000000004,0.10018025420876778,1
19,157,0.32,0.10049875621120889,1
20,20,0.22852380952380952,0.0993676035482422,1
21,97,0.274,0.09384739385477539,1
22,0,0.20379004329004324,0.1069091588711301,1
23,0,0.1996356421356421,0.10730305271863617,1
24,248,0.41666666666666663,0.10137937550497034,1
25,130,0.3116666666666667,0.10248306093095472,1
26,229,0.35083333333333333,0.09301657558378149,1
27,271,0.37833333333333335,0.09385272150200726,1
28,388,0.385,0.09630680142129112,1
29,69,0.28366666666666673,0.09698167066226712,1
30,137,0.33,0.11839200423452029,1
