Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,54,0.16038131313131312,0.05829209211760348,0
2,57,0.16025198412698416,0.10178661566713108,1
3,59,0.16322294372294371,0.06410067281534587,0
4,54,0.1578988413547237,0.06617307532568355,0
5,54,0.17475429146017377,0.06551689280363676,0
6,55,0.16755699855699857,0.0688815249789392,0
7,8,0.18736636462952247,0.10590415186109318,1
8,57,0.18050180375180375,0.09041027911074613,0
9,52,0.16417507492507488,0.07209588044486998,0
10,51,0.17260750360750357,0.07299073787836899,0
11,0,0.1980277212467615,0.11613327094614916,1
12,0,0.21059931734931733,0.14178116910459568,2
13,58,0.17967553688141918,0.07462868726340811,0
14,16,0.192754329004329,0.11656696263441085,1
15,56,0.1745797258297258,0.07050475450141172,0
16,54,0.1719984084542908,0.07821235892779398,0
17,0,0.20732514707514707,0.13847353187144215,2
18,52,0.17158113128701363,0.06937950795224299,0
19,58,0.1770805207864031,0.0916862761489899,0
20,2,0.19946630167218402,0.10697948059523815,1
21,56,0.17037745587745587,0.06910868869166838,0
22,53,0.17270285270285268,0.06610704243706887,0
23,58,0.1622739205239205,0.05286326847052155,0
24,53,0.1668926073926074,0.0667011841955537,0
25,0,0.19973933993660156,0.13445125918627984,2
26,57,0.16627464202464204,0.07334222369151794,0
27,56,0.1638380230880231,0.060340879752503865,0
28,0,0.21155927405927408,0.11415039934382568,1
29,56,0.1590248542307366,0.04265785454612265,0
30,0,0.19434271284271282,0.1120757983333857,1
