Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.2094491341991342,0.11033323762375968,1
2,56,0.17230480630480627,0.08728909078150675,0
3,19,0.18021690298006085,0.11535890879882751,1
4,56,0.15770609945609948,0.0586965310318436,0
5,9,0.19982117882117884,0.11478149812615064,1
6,31,0.19553149628149627,0.11286157453936828,1
7,57,0.16258044733044735,0.05653903388481742,0
8,0,0.1963737373737373,0.10521467050456636,1
9,53,0.16020743145743147,0.054604456227913795,0
10,54,0.17186147186147185,0.06933711764009147,0
11,0,0.19612734487734484,0.10741344449351095,1
12,29,0.18510461760461758,0.10961590455677099,1
13,36,0.18457692307692306,0.10830153787765627,1
14,55,0.16041796112384346,0.06317288773758792,0
15,55,0.168359760122918,0.07522757056904487,0
16,58,0.16988961038961037,0.0631138308550238,0
17,18,0.18532575757575753,0.0992911597149862,1
18,0,0.1919134199134199,0.11414084311001838,1
19,45,0.17329473304473303,0.1081869012470697,1
20,0,0.21259956709956712,0.1201271227212057,1
21,26,0.18130660026248258,0.10963548585979009,1
22,60,0.17411158286158282,0.07230107748744863,0
23,59,0.17182983682983682,0.07270791359467242,0
24,54,0.1729469003219003,0.08074629297284111,0
25,54,0.17860101010101004,0.07752737039471233,0
26,58,0.16402849927849927,0.0616277344601486,0
27,59,0.16207237207237207,0.07213153512073119,0
28,23,0.18561580086580082,0.10626124611103578,1
29,53,0.15937996214312003,0.062080576683671625,0
30,56,0.15912842712842715,0.0674188591190881,0
