Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,143,0.32833333333333337,0.11169153951844338,1
2,45,0.26,0.10440306508910549,1
3,0,0.19288528138528135,0.10474351824418016,1
4,68,0.27016666666666667,0.096904735579732,1
5,58,0.261,0.09787236586493656,1
6,325,0.4716666666666666,0.08516324194027476,1
7,38,0.2516666666666667,0.1046024218967547,1
8,21,0.22645238095238096,0.09944796323852113,1
9,0,0.20127355977355976,0.10647706430014803,1
10,243,0.42166666666666663,0.10125600119389361,1
11,193,0.38,0.10692676621563627,1
12,158,0.3525,0.10662434056068061,1
13,30,0.243,0.10888781178605599,1
14,0,0.19104365079365074,0.10553913309114604,1
15,279,0.38666666666666666,0.09683892697555967,1
16,114,0.30500000000000005,0.09517527690179489,1
17,227,0.3925,0.10158124826955024,1
18,76,0.2838333333333334,0.09844499310105449,1
19,310,0.42666666666666664,0.10088497300281038,1
20,17,0.22721428571428567,0.10903579422267123,1
21,144,0.3475,0.10932558407496999,1
22,0,0.21102813852813854,0.1118813548176389,1
23,0,0.1973697691197691,0.11084433490362569,1
24,17,0.2216904761904762,0.10650652040550798,1
25,413,0.39833333333333326,0.0997079067409735,1
26,33,0.24283333333333335,0.10967768435030184,1
27,0,0.1925450937950938,0.11407621262320436,1
28,98,0.3241666666666667,0.11111493048991111,1
29,0,0.20646662487838957,0.1187108322550529,1
30,51,0.2758333333333334,0.1154068888758379,1
