Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,114,0.17198495948495945,0.09967006752110387,1
2,77,0.1783023088023088,0.10639179480583684,1
3,0,0.2090199522699522,0.10803514301011183,1
4,354,0.14604049605365396,0.10061888588577547,1
5,774,0.15684449597530092,0.11720321153768228,1
6,35,0.1722463924963925,0.1003900365085411,1
7,124,0.17219155844155845,0.10456230692307598,1
8,0,0.20555627705627702,0.1125503647325299,1
9,43,0.1838829455568586,0.10837717568149305,1
10,0,0.2063016983016983,0.11729411702976415,1
11,266,0.16089008214008216,0.10753893107677097,1
12,286,0.1556075036075036,0.10958823695298064,1
13,113,0.15667146742146743,0.09897013660274333,1
14,151,0.16649804770393004,0.1032473098723065,1
15,599,0.14058399933399934,0.10179024339081155,1
16,67,0.16509470981375007,0.10565230416873922,1
17,117,0.17023917748917747,0.10045469294350273,1
18,9,0.20390090465090463,0.11353314680479272,1
19,1162,0.14235639725771304,0.11094484461631597,1
20,70,0.16518612819928605,0.10215676549979852,1
21,0,0.19923674424990215,0.11361540764184681,1
22,396,0.1456388513447337,0.1113552124119803,1
23,0,0.2093175713175713,0.1162480820370143,1
24,49,0.18708369408369405,0.10870400476463678,1
25,183,0.1571449522699523,0.10314388060580192,1
26,623,0.14313823165138956,0.10246549924279513,1
27,27,0.18658308358308356,0.11071952361951659,1
28,154,0.17327160747748985,0.11573218615676643,1
29,0,0.21173902894491128,0.11031819519423729,1
30,0,0.1843928571428571,0.09834614453038273,1
