Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.20669264069264068,0.12195390108609738,1
2,1072,0.14258983865291913,0.11061964998619307,1
3,345,0.16370670995671,0.1130030080435786,1
4,0,0.1925473692973693,0.10702587832655666,1
5,1240,0.1442385914738856,0.11150072540344215,1
6,708,0.15159741647241648,0.11496515498334917,1
7,9,0.18376176601176597,0.10849419230597679,1
8,0,0.1936584428643252,0.10707038251784373,1
9,89,0.17277561327561325,0.10219365945031023,1
10,106,0.1733294760794761,0.10460308258363854,1
11,0,0.18963657584245816,0.10394222146739233,1
12,0,0.22418986568986568,0.14829122439924905,2
13,91,0.16615884115884114,0.10824834124370715,1
14,33,0.19983988130892155,0.11548827579389621,1
15,0,0.20528060724964747,0.14463152059342615,2
16,226,0.1653780663780664,0.11097071887991695,1
17,110,0.1754779942279942,0.11435648864743506,1
18,190,0.16473340548340548,0.10808811472582411,1
19,481,0.14966400266400268,0.10772955918751985,1
20,289,0.14987781662781663,0.10539356698641428,1
21,0,0.18869047619047613,0.10714274691352355,1
22,348,0.16420151090739324,0.11522370947235976,1
23,448,0.15158034041122279,0.10735644207631488,1
24,27,0.18445682095682095,0.11530106488339446,1
25,988,0.14351023872927898,0.1053828232041369,1
26,0,0.202007326007326,0.11164259652027599,1
27,372,0.15293960614548852,0.10267899710843084,1
28,956,0.1549370213120213,0.11793026295523545,1
29,133,0.17390512265512265,0.10315518898956165,1
30,44,0.17478869230185015,0.10122702530155302,1
