Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,21,0.19751562326562322,0.10426651955259084,1
2,631,0.18419552669552666,0.0996742763002776,1
3,0,0.20924675324675324,0.11360952784208479,1
4,0,0.20391774891774891,0.11297637829845132,1
5,437,0.17728571428571427,0.10221461385961474,1
6,71,0.1960761183261183,0.10756011785690775,1
7,102,0.18328185703185698,0.09950617463986405,1
8,0,0.19377788877788876,0.11121629135936559,1
9,0,0.20694877344877344,0.10990397139284205,1
10,0,0.19302449348037581,0.11114897570721809,1
11,1132,0.18407142857142855,0.09805888812564824,1
12,1229,0.18933874458874456,0.1137130914898016,1
13,92,0.1845163447663447,0.10167086926138628,1
14,9,0.1952781385281385,0.1066609324137334,1
15,657,0.1732420634920635,0.09826379632296145,1
16,0,0.19614884135472366,0.11428738840773585,1
17,55,0.20419083694083692,0.11100766675728091,1
18,362,0.17632647907647908,0.09778901036629131,1
19,0,0.20513045288045287,0.13889765617477826,2
20,236,0.19713528138528136,0.10737007418671003,1
21,0,0.19760328560328555,0.10223295568330723,1
22,259,0.18067832167832165,0.10241142248146139,1
23,102,0.19417857142857137,0.10460078180597777,1
24,1250,0.18951623376623375,0.10584895650555132,1
25,154,0.19267460317460317,0.10179737734473103,1
26,182,0.1879090909090909,0.10652706977344582,1
27,674,0.17937337662337657,0.09837127439671813,1
28,624,0.18115512265512262,0.10150442763527852,1
29,201,0.1801349206349206,0.09904585144179785,1
30,544,0.17166883116883117,0.10129523007304717,1
