Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.1955893175451999,0.11475806547069653,1
2,0,0.19848448773448768,0.10350079284691932,1
3,50,0.1902741702741702,0.10064477392915874,1
4,156,0.17618650793650795,0.10095948573319503,1
5,0,0.20048145318733548,0.11082109496122185,1
6,79,0.18222990897990893,0.10219833396092565,1
7,1072,0.18315873015873016,0.10566495881936361,1
8,89,0.1864808802308802,0.09897545285175685,1
9,5,0.19796933621933618,0.10717817889832587,1
10,464,0.1913690476190476,0.10672007082376245,1
11,652,0.1863899711399711,0.1034125897892303,1
12,245,0.1740840548340548,0.09810813692427758,1
13,0,0.2068782785841609,0.1137063365827524,1
14,767,0.17877355977355971,0.10199854503651426,1
15,132,0.1811670274170274,0.10584711402647487,1
16,159,0.18039754689754683,0.09844378333183895,1
17,15,0.1972265512265512,0.1059955790682572,1
18,513,0.1828928571428571,0.10594689503365048,1
19,205,0.18205530580530574,0.10012989866016819,1
20,222,0.1754883172383172,0.1019955637997928,1
21,1222,0.17841774891774886,0.10274597688843343,1
22,698,0.17097799422799423,0.09800262241072148,1
23,17,0.20038997113997112,0.1135255074038109,1
24,30,0.19214285714285712,0.1058119722403271,1
25,8,0.20090945165945165,0.11421918377003058,1
26,47,0.1912160894660894,0.09846075540770664,1
27,63,0.1794747197247197,0.10271500238483576,1
28,89,0.18650072150072147,0.1029169275222873,1
29,90,0.18923845598845596,0.10370504288950991,1
30,57,0.17934704184704184,0.108203757814654,1
