Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.20156288156288152,0.13258272196091242,2
2,898,0.18301731601731597,0.10327451785287074,1
3,145,0.18771464646464645,0.11183450370496302,1
4,246,0.1926035353535354,0.11686785129755388,1
5,0,0.20941666666666667,0.1100134536625975,1
6,0,0.17603131516111056,0.0980218510438263,1
7,104,0.19264357864357862,0.10468082178164081,1
8,0,0.20748088023088024,0.12256433972239823,1
9,257,0.1774729437229437,0.106892331811112,1
10,502,0.17172977022977023,0.10294016824704584,1
11,194,0.17802777777777773,0.09599264019131609,1
12,687,0.18557936507936507,0.10830264726164393,1
13,211,0.1926984126984127,0.11050503637275551,1
14,67,0.18662012987012983,0.10612289780895051,1
15,43,0.19397315592903827,0.1103817120732352,1
16,240,0.1898506493506493,0.10581535782862378,1
17,195,0.1758876580935404,0.10192750663767716,1
18,102,0.175267427017427,0.10568997575661354,1
19,212,0.1861829004329004,0.10536398880017137,1
20,37,0.19694083694083694,0.11201285165890515,1
21,643,0.1842460317460317,0.1063291929166865,1
22,410,0.17851226551226554,0.10839447227945978,1
23,0,0.19650444000443998,0.106182964399809,1
24,346,0.1852622655122655,0.10427724894452337,1
25,105,0.18079004329004328,0.10230790583514004,1
26,0,0.1968897213897214,0.11773287346724472,1
27,154,0.19925036075036073,0.10949631686957755,1
28,468,0.18072005772005767,0.1056981552739623,1
29,504,0.1791601731601731,0.10098734036496045,1
30,25,0.18711061161061157,0.10465040073810604,1
