Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,338,0.19302886002886,0.10562942067126582,1
2,23,0.1927070707070707,0.10207275085008752,1
3,379,0.1949880952380952,0.1033896363417159,1
4,47,0.1923571428571428,0.1065733781046417,1
5,32,0.2029527417027417,0.11683114752127986,1
6,145,0.18062337662337657,0.09871777308019569,1
7,124,0.1756940647072226,0.10762689426527003,1
8,242,0.17653607503607505,0.09731841749861075,1
9,382,0.1775925642984466,0.09500243897412773,1
10,567,0.18457972582972576,0.09987718517749138,1
11,43,0.2062790722349546,0.10971470145643773,1
12,876,0.1850122655122655,0.10260662179289301,1
13,156,0.18994419469419468,0.11331678847252435,1
14,0,0.19055566655566655,0.10142067463944951,1
15,0,0.2063029927588751,0.1329247286250644,2
16,0,0.1961673881673881,0.10833750478134849,1
17,0,0.20506385281385284,0.11586843549452844,1
18,185,0.18777128427128426,0.10237770087030226,1
19,13,0.19318326118326112,0.10227605540087753,1
20,758,0.1858412698412698,0.10234983038724248,1
21,205,0.18841414141414137,0.10880322296093431,1
22,0,0.19583910533910528,0.11244777465326132,1
23,0,0.19135389610389605,0.10235751338864585,1
24,0,0.20197351667939903,0.13431844018873773,2
25,438,0.18480891330891328,0.10015118161994804,1
26,485,0.19484163059163057,0.10813795955987729,1
27,0,0.20629169849758086,0.13463348992419363,2
28,497,0.17540476190476187,0.09729673173363464,1
29,0,0.1914918137418137,0.10831854482007887,1
30,16,0.20064693639693637,0.11624923055047816,1
