Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,183,0.18910786435786434,0.11310372251672875,1
2,8,0.19284364654952887,0.11725671439130643,1
3,242,0.17699711399711396,0.09642001851521109,1
4,0,0.20608802308802307,0.11109293273926818,1
5,474,0.17189826839826838,0.09867741772216142,1
6,59,0.1996322468381292,0.11516034130977992,1
7,0,0.19250444000443995,0.10287840353725893,1
8,298,0.19698448773448773,0.11464401361726938,1
9,0,0.1958327228327228,0.11373371139234352,1
10,118,0.18367135642135637,0.10309917671700682,1
11,5,0.2001962481962482,0.12122159572673816,1
12,0,0.19534595959595955,0.10440068189626824,1
13,0,0.208024531024531,0.14087631241096574,2
14,69,0.18736940836940832,0.10342222959048551,1
15,1152,0.16973196248196248,0.0984034137382153,1
16,7,0.18909065934065927,0.10252263436638194,1
17,66,0.1869816017316017,0.10388877735598648,1
18,5,0.19373387723387722,0.11311486893783818,1
19,0,0.19353210678210675,0.10509216200773838,1
20,144,0.1860374486624486,0.1024273059758014,1
21,172,0.17382611832611833,0.09540293144012799,1
22,0,0.20965884115884115,0.11613708293169207,1
23,47,0.19243650793650788,0.1013618346783072,1
24,423,0.17323748473748474,0.09510944764581014,1
25,55,0.17841450216450214,0.10285821065027306,1
26,278,0.18072655122655118,0.09942356655364948,1
27,10,0.19257936507936507,0.11295049913892335,1
28,0,0.1947070707070707,0.10290764690605536,1
29,25,0.19326226551226547,0.1035228330885048,1
30,1370,0.1818746710805534,0.11062565725008656,1
