Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.19649060150375938,0.1066656807186574,1
2,0,0.20295310245310244,0.12061642213239182,1
3,0,0.1943008468140047,0.14173393983767874,2
4,880,0.18215451215451214,0.11425576014219123,1
5,0,0.18805266955266955,0.11379332198056012,1
6,200,0.18115548340548338,0.10270552920628677,1
7,34,0.20473484848484846,0.10744856583313576,1
8,413,0.17838888888888885,0.10084669926343927,1
9,235,0.1834315494447073,0.10806916487714371,1
10,37,0.19028174603174597,0.10307520387411856,1
11,0,0.20292722044037834,0.11712427472868425,1
12,163,0.18303149628149626,0.10955868631868548,1
13,115,0.18450083250083246,0.10601035413629782,1
14,149,0.18650093370681603,0.097135777043266,1
15,413,0.1773893606393606,0.09779908984769956,1
16,275,0.17694588744588743,0.105335829356144,1
17,111,0.19065187590187588,0.1083003286761215,1
18,12,0.19010653235653233,0.09952205517996086,1
19,178,0.19399206349206344,0.10534014031939319,1
20,595,0.17992099567099565,0.0948577823855117,1
21,253,0.1768060273060273,0.0995253923836408,1
22,112,0.18164826839826836,0.10586930053822244,1
23,242,0.16771908646908648,0.09649834437444095,1
24,791,0.18775432900432898,0.10854322694774801,1
25,0,0.20026984126984126,0.12689075039041847,2
26,504,0.17930591630591625,0.10352731408620994,1
27,39,0.18846103896103894,0.0984105698594038,1
28,0,0.20250923096511328,0.11788730955078766,1
29,0,0.20521428571428568,0.10770936387924382,1
30,412,0.18021933621933617,0.10131139651088657,1
