Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,29,0.30633333333333335,0.1289224573144648,1
2,169,0.51,0.06999999999999999,1
3,7,0.2391428571428571,0.1347578326828825,1
4,834,0.51,0.06999999999999999,1
5,141,0.45,0.11180339887498951,1
6,20,0.2793333333333333,0.122952565379228,1
7,87,0.33833333333333326,0.13060755465643376,1
8,9,0.25666666666666665,0.12806248474865697,1
9,4,0.2465952380952381,0.13744634285979704,1
10,17,0.25233333333333335,0.12400761625355472,1
11,118,0.4833333333333333,0.09574271077563382,1
12,59,0.3783333333333333,0.12271240089466644,1
13,84,0.4066666666666666,0.11623730516108464,1
14,29,0.28633333333333333,0.13219051907505824,1
15,1754,0.51,0.06999999999999999,1
16,23,0.2516666666666667,0.11314936048329119,1
17,249,0.51,0.06999999999999999,1
18,0,0.2149134199134199,0.14390291121594614,1
19,43,0.359,0.1408391517535755,1
20,86,0.36166666666666664,0.10879389280245061,1
21,20,0.2743333333333333,0.14461481405597576,1
22,0,0.19677128427128426,0.1342052579422532,1
23,218,0.51,0.06999999999999999,1
24,105,0.39,0.11357816691600547,1
25,101,0.41,0.116476034731041,1
26,37,0.316,0.1354400236266961,1
27,15,0.275,0.13022416570411705,1
28,41,0.286,0.13001538370516005,1
29,62,0.37666666666666665,0.12719189352225943,1
30,3,0.21853174603174602,0.1342242825918209,1
