Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.20455555555555555,0.13941002547457576,1
2,0,0.2208241758241758,0.1346515060389432,1
3,62,0.35,0.13540064007726602,1
4,197,0.51,0.06999999999999999,1
5,37,0.3283333333333333,0.12996794476587936,1
6,108,0.51,0.06999999999999999,1
7,45,0.30666666666666664,0.1183685393637647,1
8,90,0.33833333333333326,0.12065791865158844,1
9,41,0.294,0.1259523719506703,1
10,104,0.395,0.11996527275285405,1
11,83,0.37166666666666665,0.12042747933000084,1
12,19,0.3043333333333333,0.1388368346897417,1
13,41,0.2753333333333333,0.11562583333033036,1
14,251,0.51,0.06999999999999999,1
15,55,0.3283333333333333,0.13060755465643376,1
16,42,0.345,0.12802994441405754,1
17,28,0.285,0.12724647997750926,1
18,154,0.4333333333333333,0.11547005383792516,1
19,822,0.51,0.06999999999999999,1
20,249,0.51,0.06999999999999999,1
21,1891,0.51,0.06999999999999999,1
22,15,0.27399999999999997,0.12737346662472526,1
23,0,0.19707936507936505,0.13112299515686227,1
24,80,0.385,0.12459935794377112,1
25,426,0.51,0.06999999999999999,1
26,1,0.20480158730158726,0.13266561477608033,1
27,0,0.21526068376068375,0.13375127784886995,1
28,6,0.2266190476190476,0.12337234168920339,1
29,67,0.33833333333333326,0.11354147553500732,1
30,666,0.51,0.06999999999999999,1
