Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,28,0.24116666666666667,0.10342616797610855,1
2,145,0.3383333333333334,0.10789655539759677,1
3,0,0.21342796092796093,0.11572282653743723,1
4,110,0.3358333333333334,0.10701440712975675,1
5,246,0.3933333333333333,0.09865765724632497,1
6,545,0.505,0.049749371855330994,1
7,18,0.22002380952380954,0.11369719252163436,1
8,71,0.28833333333333333,0.11056672193747989,1
9,193,0.3883333333333333,0.10750968948580093,1
10,52,0.2758333333333334,0.10935098942802889,1
11,91,0.2966666666666667,0.10588253449512393,1
12,94,0.32083333333333336,0.11712706775122478,1
13,37,0.26583333333333337,0.11061381770225032,1
14,40,0.24700000000000003,0.0984710899480429,1
15,115,0.3433333333333334,0.11503622617824932,1
16,42,0.2516666666666667,0.10761298971571952,1
17,74,0.29550000000000004,0.1083424355150526,1
18,140,0.31833333333333336,0.1069657265981336,1
19,125,0.3566666666666667,0.10211649121360261,1
20,0,0.2031590909090909,0.10925342170899113,1
21,0,0.20341702741702739,0.10788838382658666,1
22,0,0.19819646040234276,0.11335825668245651,1
23,153,0.34,0.08793937305515279,1
24,0,0.211754329004329,0.1230403469172823,1
25,83,0.29500000000000004,0.10356157588603988,1
26,0,0.20133766233766232,0.1077249817025491,1
27,64,0.30383333333333334,0.11189913613011794,1
28,84,0.31333333333333335,0.11,1
29,27,0.24316666666666667,0.10809191047951328,1
30,57,0.306,0.11998888837443795,1
