Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.20188326899278913,0.0996936598267041,1
2,67,0.23558333333333334,0.09158598722269447,1
3,69,0.24941666666666668,0.09825388739835635,1
4,170,0.2913333333333334,0.0987555905590497,1
5,101,0.2630833333333334,0.09079704932797467,1
6,0,0.21326424963924964,0.11791117200198434,2
7,0,0.19070465645465645,0.09735904937978822,1
8,58,0.2419166666666667,0.091317174665497,1
9,86,0.24358333333333335,0.08693352345326857,1
10,0,0.19884379509379507,0.10149352833996846,1
11,0,0.20370057720057722,0.09976109259153038,1
12,98,0.25483333333333336,0.09005538419340746,1
13,0,0.19265535853035853,0.08872487242289727,1
14,280,0.3154166666666667,0.0942357784731704,1
15,309,0.3341666666666667,0.10068860136303635,1
16,101,0.26616666666666666,0.09817656995886996,1
17,253,0.3170833333333334,0.09490400852089091,1
18,95,0.27508333333333335,0.09884046489166266,1
19,122,0.27208333333333334,0.09756675065478676,1
20,194,0.301,0.09250585567051058,1
21,134,0.27266666666666667,0.09055446488777408,1
22,0,0.1968380230880231,0.10003482500484805,1
23,146,0.26366666666666666,0.08227258217521664,1
24,0,0.20601659451659451,0.10438046799058016,1
25,0,0.19129816017316018,0.09207108191825557,1
26,315,0.3508333333333333,0.09739310379419411,1
27,0,0.19566744366744365,0.09364679475013946,1
28,0,0.19311565721859839,0.10284523503723872,1
29,0,0.2011106091975657,0.10467382296457439,1
30,66,0.2430833333333333,0.0860761532984988,1
