Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,146,0.41,0.116476034731041,1
2,66,0.30166666666666664,0.12570909982088718,1
3,49,0.325,0.1282900359861721,1
4,4,0.2158809523809524,0.12404410240879503,1
5,85,0.3833333333333333,0.12583057392117916,1
6,43,0.3083333333333333,0.12698425099200292,1
7,0,0.20859595959595956,0.13961356623565915,1
8,29,0.26833333333333337,0.12459935794377112,1
9,84,0.325,0.12162099599438689,1
10,214,0.44,0.11430952132988166,1
11,90,0.37,0.11075498483890768,1
12,0,0.22219191919191922,0.13938561245179173,1
13,69,0.33,0.12355835328567091,1
14,72,0.355,0.1267214793684691,1
15,41,0.2803333333333333,0.12912913433200632,1
16,71,0.3133333333333333,0.12754084313139327,1
17,219,0.51,0.06999999999999999,1
18,109,0.4066666666666666,0.11623730516108464,1
19,334,0.51,0.06999999999999999,1
20,119,0.4233333333333333,0.11647603473104098,1
21,91,0.4116666666666666,0.12517765153750268,1
22,90,0.395,0.1362289739127963,1
23,462,0.51,0.06999999999999999,1
24,159,0.43,0.11590225767142474,1
25,0,0.21948556998556998,0.15217902317207746,1
26,41,0.286,0.12411285187280162,1
27,49,0.31666666666666665,0.12360330811826105,1
28,24,0.27799999999999997,0.13201178398579086,1
29,59,0.36,0.12741009902410927,1
30,30,0.2893333333333333,0.13328165665236907,1
