Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,82,0.4,0.11902380714238084,1
2,371,0.51,0.06999999999999999,1
3,50,0.32166666666666666,0.1190354755711273,1
4,229,0.51,0.06999999999999999,1
5,0,0.21517532467532466,0.13981167568964178,1
6,97,0.44,0.11430952132988166,1
7,35,0.3,0.11902380714238082,1
8,0,0.2187943722943723,0.13680634738758243,1
9,175,0.4233333333333333,0.11647603473104098,1
10,0,0.198517316017316,0.14179411584963963,1
11,0,0.21507539682539684,0.13945984959986055,1
12,0,0.2082316017316017,0.13010877978397825,1
13,156,0.4533333333333333,0.11075498483890765,1
14,187,0.51,0.06999999999999999,1
15,1963,0.51,0.06999999999999999,1
16,73,0.33,0.12013880860626733,1
17,33,0.295,0.13124404748406687,1
18,15,0.23152380952380955,0.12126371629176176,1
19,25,0.27199999999999996,0.12416118556135004,1
20,17,0.27,0.12819256348686273,1
21,30,0.32,0.12948616399703355,1
22,25,0.2886666666666667,0.13525449263435865,1
23,279,0.51,0.06999999999999999,1
24,55,0.2876666666666667,0.11069527742611444,1
25,110,0.39666666666666667,0.11493959766377779,1
26,10000,0.5,0.0,0
27,0,0.1991882737145895,0.13785470178398346,1
28,0,0.20769791319791317,0.13272805094542206,1
29,13,0.2531904761904762,0.12250837353953234,1
30,33,0.298,0.12300135500608655,1
