Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,114,0.3933333333333333,0.11430952132988165,1
2,140,0.3833333333333333,0.1118033988749895,1
3,73,0.31666666666666665,0.11666666666666667,1
4,89,0.37166666666666665,0.13039469996045766,1
5,170,0.40333333333333327,0.11590225767142473,1
6,187,0.4666666666666666,0.10540925533894598,1
7,24,0.29733333333333334,0.1402521538753208,1
8,83,0.33333333333333326,0.12909944487358055,1
9,209,0.4666666666666666,0.10540925533894598,1
10,206,0.43666666666666665,0.11493959766377779,1
11,60,0.2753333333333333,0.11196428001822724,1
12,71,0.3283333333333333,0.12406315595964286,1
13,108,0.38,0.12151817422372123,1
14,0,0.22801659451659453,0.13926621275923273,1
15,145,0.3933333333333333,0.11789826122551596,1
16,128,0.4533333333333333,0.11075498483890765,1
17,99,0.33666666666666667,0.137396425636833,1
18,94,0.4133333333333333,0.1268857754044952,1
19,0,0.20546176046176043,0.13701178393659677,1
20,58,0.3733333333333333,0.13564659966250536,1
21,80,0.34333333333333327,0.12871156384205215,1
22,253,0.51,0.06999999999999999,1
23,173,0.47,0.10376254944182255,1
24,105,0.4,0.11547005383792516,1
25,62,0.36499999999999994,0.11412712210513327,1
26,407,0.51,0.06999999999999999,1
27,65,0.33333333333333326,0.12583057392117916,1
28,38,0.2753333333333333,0.12531028156806076,1
29,68,0.355,0.1267214793684691,1
30,162,0.4333333333333333,0.11547005383792516,1
