Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.22168131868131866,0.142122446534278,1
2,167,0.43666666666666665,0.11493959766377779,1
3,0,0.20399755799755803,0.13345705590260998,1
4,71,0.31666666666666665,0.12360330811826105,1
5,84,0.4066666666666666,0.1231981240838422,1
6,121,0.51,0.06999999999999999,1
7,0,0.21263564213564215,0.1362592666183883,1
8,156,0.40333333333333327,0.11590225767142473,1
9,100,0.40333333333333327,0.11590225767142473,1
10,79,0.3466666666666666,0.12060035010083696,1
11,287,0.51,0.06999999999999999,1
12,61,0.3183333333333333,0.12983964469041545,1
13,119,0.4133333333333333,0.11661903789690602,1
14,0,0.2297803666921314,0.15393870907325766,1
15,25,0.2956666666666667,0.13730784553128944,1
16,3,0.20942857142857144,0.14633746811032466,1
17,201,0.51,0.06999999999999999,1
18,78,0.33166666666666655,0.1086405899182151,1
19,101,0.3616666666666666,0.11620145342368907,1
20,103,0.37166666666666665,0.13355190418377086,1
21,85,0.3533333333333333,0.12754084313139327,1
22,0,0.19240056022408963,0.1311219897339264,1
23,392,0.51,0.06999999999999999,1
24,67,0.30166666666666664,0.10787080750189604,1
25,41,0.2803333333333333,0.11905600922814999,1
26,75,0.35666666666666663,0.11907047399661168,1
27,702,0.51,0.06999999999999999,1
28,124,0.37666666666666665,0.12046207333061767,1
29,0,0.20496103896103893,0.13064056473192634,1
30,192,0.4433333333333333,0.11357816691600547,1
